Date,Name,Year,Letterboxd URI,Rating,Elo,poster,trailer
2022-09-20,P.S. I Love You,2007,https://boxd.it/229C,2.0,968.6731710046428,https://a.ltrbxd.com/resized/film-poster/4/8/4/9/4/48494-p-s-i-love-you-0-460-0-690-crop.jpg?v=7e95f06cd4,https://www.youtube.com/embed/CZzW6_hR068?autoplay=1&rel=1
2022-09-20,Constantine,2005,https://boxd.it/2a7E,2.0,968.6380203756128,https://a.ltrbxd.com/resized/film-poster/5/1/5/5/7/51557-constantine-0-460-0-690-crop.jpg?v=4d97045756,https://www.youtube.com/embed/inKKja-rbXU?autoplay=1&rel=1
2022-04-25,The Lion King,1994,https://boxd.it/201Q,3.0,968.6367335238764,https://a.ltrbxd.com/resized/sm/upload/lz/96/yu/mf/ztuEReeV6ofpU1HxUV9AsR6aLoe-0-460-0-690-crop.jpg?v=47499379fa,https://www.youtube.com/embed/adqdIxiB74s?autoplay=1&rel=1
2022-09-20,The Blair Witch Project,1999,https://boxd.it/26ua,3.0,968.5528512590485,https://a.ltrbxd.com/resized/film-poster/5/0/1/5/9/50159-the-blair-witch-project-0-460-0-690-crop.jpg?v=05594b24b0,https://www.youtube.com/embed/0x9iMtfPZA8?autoplay=1&rel=1
2022-09-20,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,2.0,968.1225470786784,https://a.ltrbxd.com/resized/sm/upload/5k/6p/zw/vr/jqPaoeBu3hEphyyR0anAkMAxflb-0-460-0-690-crop.jpg?v=6b7b0886fc,https://www.youtube.com/embed/sPlP0o5iDF0?autoplay=1&rel=1
2022-09-20,The Hunger Games: Mockingjay - Part 1,2014,https://boxd.it/4hka,2.0,967.9474289270942,https://a.ltrbxd.com/resized/film-poster/1/0/1/9/9/1/101991-the-hunger-games-mockingjay-part-1-0-460-0-690-crop.jpg?v=2909b52c8c,https://www.youtube.com/embed/IXshQ5mv1K8?autoplay=1&rel=1
2022-09-20,Bad Teacher,2011,https://boxd.it/yXA,3.0,967.5524464306668,https://a.ltrbxd.com/resized/film-poster/1/3/4/3/9/13439-bad-teacher-0-460-0-690-crop.jpg?v=f2b4e9d439,https://www.youtube.com/embed/GahC5cVsU6A?autoplay=1&rel=1
2022-09-20,Chappie,2015,https://boxd.it/5Y3e,2.5,967.51920773472,https://a.ltrbxd.com/resized/film-poster/1/4/2/2/4/8/142248-chappie-0-460-0-690-crop.jpg?v=cddef7c3e0,https://www.youtube.com/embed/lyy7y0QOK-0?autoplay=1&rel=1
2022-09-20,Olympus Has Fallen,2013,https://boxd.it/3TMY,1.5,967.3266733439496,https://a.ltrbxd.com/resized/sm/upload/ma/6v/mk/gk/l542hLtKhsmOWEBFoC7Aajk0nKt-0-460-0-690-crop.jpg?v=f8984368ce,https://www.youtube.com/embed/ar-IaAx7s8k?autoplay=1&rel=1
2022-09-20,Superman Returns,2006,https://boxd.it/28J2,1.0,967.2949884798684,https://a.ltrbxd.com/resized/sm/upload/54/gw/jp/ff/vEufsHYtmE362NOWuf1hAlvqrPQ-0-460-0-690-crop.jpg?v=4b45e60547,https://www.youtube.com/embed/zVCozSQj8TQ?autoplay=1&rel=1
