Date,Name,Year,Letterboxd URI,Rating
2022-06-06,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2022-06-06,The Social Network,2010,https://boxd.it/17ue,4.5
2022-06-06,The Sixth Sense,1999,https://boxd.it/29Js,4
2022-06-06,La La Land,2016,https://boxd.it/a5fa,4
2022-06-06,American Psycho,2000,https://boxd.it/28Vs,3
2022-06-06,Toy Story 2,1999,https://boxd.it/29qq,3
2022-07-19,Scream,2022,https://boxd.it/o0lg,2
2022-07-19,The Matrix Resurrections,2021,https://boxd.it/n87k,2
2022-07-19,Don't Look Up,2021,https://boxd.it/o0Hc,2.5
2022-07-19,Red Notice,2021,https://boxd.it/ixtq,2
2022-07-19,Finch,2021,https://boxd.it/iXBq,3
2022-07-19,Encanto,2021,https://boxd.it/kPRu,3
2022-07-19,Eternals,2021,https://boxd.it/j36o,2.5
2022-07-19,No Time to Die,2021,https://boxd.it/cPX2,2
2022-07-19,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,4
2022-07-19,Gemini Man,2019,https://boxd.it/gaUu,1.5
2022-07-19,Zombieland: Double Tap,2019,https://boxd.it/bgb6,2
2022-07-19,Terminator: Dark Fate,2019,https://boxd.it/96YI,2.5
2022-07-19,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,1
2022-07-19,Tenet,2020,https://boxd.it/leq4,3.5
2022-07-19,Wonder Woman 1984,2020,https://boxd.it/gBtA,2
2022-07-19,Black Widow,2021,https://boxd.it/hWV8,2
2022-07-19,Free Guy,2021,https://boxd.it/k8dm,3
2022-07-19,Joker,2019,https://boxd.it/h4cS,4
2022-07-19,Ad Astra,2019,https://boxd.it/ePzI,2.5
2022-07-19,It Chapter Two,2019,https://boxd.it/h10u,2.5
2022-07-19,Spider-Man: Far from Home,2019,https://boxd.it/fegG,3.5
2022-07-19,Toy Story 4,2019,https://boxd.it/9ALu,2.5
2022-07-19,Dark Phoenix,2019,https://boxd.it/anyO,2
2022-08-31,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-08-31,Marley & Me,2008,https://boxd.it/1Ola,1
2022-08-31,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-09-20,PlayTime,1967,https://boxd.it/1WLK,0.5
2022-09-20,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1
2022-09-20,The Emperor's New Groove,2000,https://boxd.it/1Tey,3
2022-09-20,9,2009,https://boxd.it/1Scm,3.5
2022-09-20,Ice Age,2002,https://boxd.it/2apS,3.5
2022-09-20,The Blair Witch Project,1999,https://boxd.it/26ua,3
2022-09-20,Scary Movie 2,2001,https://boxd.it/24Cw,2
2022-09-20,Scary Movie 3,2003,https://boxd.it/24Be,2
2022-09-20,Cloverfield,2008,https://boxd.it/2192,3
2022-09-20,Liar Liar,1997,https://boxd.it/28sg,3
2022-09-20,The Purge,2013,https://boxd.it/4Xg0,2
2022-09-20,Madagascar,2005,https://boxd.it/29dc,2.5
2022-09-20,Child's Play,1988,https://boxd.it/1VTo,2.5
2022-09-20,The Simpsons Movie,2007,https://boxd.it/6YU,2.5
2022-09-20,Johnny English,2003,https://boxd.it/1YyI,3
2022-09-20,Jumper,2008,https://boxd.it/20ss,3.5
